on_street_name,count
BELT PARKWAY,1.6572962433728182
LONG ISLAND EXPRESSWAY,0.9949119269240528
BROOKLYN QUEENS EXPRESSWAY,0.9855637611677194
FDR DRIVE,0.9722092386586717
MAJOR DEEGAN EXPRESSWAY,0.7892522802847184
GRAND CENTRAL PKWY,0.7758977577756707
BROADWAY,0.7678850442702421
ATLANTIC AVENUE,0.710460597481337
